CBASS Date,rackColor,position,postitionNumber,Shayle tube number,TEMP.treatment
6/8/22,Orange,topLeft,1,1,30
6/8/22,Orange,topCenter,2,2,30
6/8/22,Orange,topRight,3,3,30
6/8/22,Orange,centerLeft,4,4,30
6/8/22,Orange,centerRight,5,5,30
6/8/22,Orange,bottomLeft,6,6,30
6/8/22,Orange,bottomCenter,7,7,30
6/8/22,Orange,bottomRight,8,8,30
6/8/22,Pink,topLeft,1,9,30
6/8/22,Pink,topCenter,2,10,30
6/8/22,Pink,topRight,3,11,30
6/8/22,Pink,centerLeft,4,12,30
6/8/22,Pink,centerRight,5,13,30
6/8/22,Pink,bottomLeft,6,14,30
6/8/22,Pink,bottomCenter,7,15,30
6/8/22,Pink,bottomRight,8,16,30
6/8/22,Orange,topLeft,1,17,34
6/8/22,Orange,topCenter,2,18,34
6/8/22,Orange,topRight,3,19,34
6/8/22,Orange,centerLeft,4,20,34
6/8/22,Orange,centerRight,5,21,34
6/8/22,Orange,bottomLeft,6,22,34
6/8/22,Orange,bottomCenter,7,23,34
6/8/22,Orange,bottomRight,8,24,34
6/8/22,Pink,topLeft,1,25,34
6/8/22,Pink,topCenter,2,26,34
6/8/22,Pink,topRight,3,27,34
6/8/22,Pink,centerLeft,4,28,34
6/8/22,Pink,centerRight,5,29,34
6/8/22,Pink,bottomLeft,6,30,34
6/8/22,Pink,bottomCenter,7,31,34
6/8/22,Pink,bottomRight,8,32,34
6/8/22,Orange,topLeft,1,33,35
6/8/22,Orange,topCenter,2,34,35
6/8/22,Orange,topRight,3,35,35
6/8/22,Orange,centerLeft,4,36,35
6/8/22,Orange,centerRight,5,37,35
6/8/22,Orange,bottomLeft,6,38,35
6/8/22,Orange,bottomCenter,7,39,35
6/8/22,Orange,bottomRight,8,40,35
6/8/22,Pink,topLeft,1,41,35
6/8/22,Pink,topCenter,2,42,35
6/8/22,Pink,topRight,3,43,35
6/8/22,Pink,centerLeft,4,44,35
6/8/22,Pink,centerRight,5,45,35
6/8/22,Pink,bottomLeft,6,46,35
6/8/22,Pink,bottomCenter,7,47,35
6/8/22,Pink,bottomRight,8,48,35
6/8/22,Pink,topLeft,1,49,36
6/8/22,Pink,topCenter,2,50,36
6/8/22,Pink,topRight,3,51,36
6/8/22,Pink,centerLeft,4,52,36
6/8/22,Pink,centerRight,5,53,36
6/8/22,Pink,bottomLeft,6,54,36
6/8/22,Pink,bottomCenter,7,55,36
6/8/22,Pink,bottomRight,8,56,36
6/8/22,Orange,topLeft,1,57,36
6/8/22,Orange,topCenter,2,58,36
6/8/22,Orange,topRight,3,59,36
6/8/22,Orange,centerLeft,4,60,36
6/8/22,Orange,centerRight,5,61,36
6/8/22,Orange,bottomLeft,6,62,36
6/8/22,Orange,bottomCenter,7,63,36
